index,HR,HR_std,SDNN,LF,HF,LF/HF,arrive,F,S
1,68.10122491,17.85320059,275.5683277,46.03671269,53.96328731,0.853111717,0,2,2
2,71.64460488,20.06715642,306.2991998,33.663422,66.336578,0.507463951,0,3,3
3,71.24963707,17.8285234,277.9889666,28.71411709,71.28588291,0.402802293,0,1,3
4,70.83929957,20.5162436,324.8024853,54.59639056,45.40360944,1.202468069,0,2,2
5,67.64980091,19.1758724,337.8339011,28.67004015,71.32995985,0.401935459,0,3,1
0,69.70425244,19.46395305,330.423894,29.82610562,70.17389438,0.425031358,0,1,1
1,69.15441342,19.15804626,330.3644035,21.85804598,78.14195402,0.279722286,0,2,2
2,71.46274077,19.91637038,302.6122698,31.25430064,68.74569936,0.454636449,0,3,3
3,72.53101678,16.8726372,286.1970221,34.19735176,65.80264824,0.519695676,0,1,3
4,71.83467922,21.06498195,355.3510047,29.69707078,70.30292922,0.422415838,0,2,2
5,71.35711002,17.76343877,283.3179905,46.35325405,53.64674595,0.864045959,0,3,1
0,68.35006989,18.60078344,299.9778643,38.67778637,61.32221363,0.630730433,0,1,1
1,70.21717958,17.13185045,304.1276921,64.06824359,35.93175641,1.783053488,0,2,2
2,68.53762555,15.89809191,267.5170445,40.49526219,59.50473781,0.680538453,0,3,3
3,66.41961135,18.78951795,328.3355753,36.58625197,63.41374803,0.576945112,0,1,3
4,68.17997664,17.15087393,308.3926818,39.91511546,60.08488454,0.664312094,0,2,2
5,69.64221058,18.98494545,279.706708,35.85944308,64.14055692,0.559075955,0,3,1
0,71.05766682,18.89155911,291.8894405,39.5461622,60.4538378,0.654154701,0,1,1
1,69.90077201,17.0542357,240.7466,20.50285304,79.49714696,0.257906778,0,2,2
2,69.93834411,17.27455121,334.9054403,53.1300928,46.8699072,1.133565137,0,3,3
3,71.5630989,17.8214969,271.5987216,24.0404003,75.9595997,0.316489297,0,1,3
4,69.08420406,18.44007889,255.4808882,22.53110547,77.46889453,0.290840674,0,2,2
5,68.91412999,17.21785851,262.3272199,16.82577318,83.17422682,0.202295517,0,3,1
0,72.91080317,17.81331556,230.0186954,31.97699141,68.02300859,0.470090813,0,1,1
1,68.43613487,18.74171775,291.7055409,20.90579878,79.09420122,0.264315189,0,2,2
2,67.26647404,16.23893044,284.9191283,16.43937788,83.56062212,0.196735944,0,3,3
3,70.44038834,20.30935147,337.535814,28.49572212,71.50427788,0.398517725,0,1,3
4,67.05457846,15.29667326,267.5545414,27.7407698,72.2592302,0.383906246,0,2,2
5,70.08108204,19.16138312,290.2415261,42.05788712,57.94211288,0.725860433,0,3,1
0,69.85529193,19.41678667,290.3780385,30.44204818,69.55795182,0.437650152,0,1,1
1,70.82351788,18.36855786,306.7689913,37.40107912,62.59892088,0.597471627,0,2,2
2,69.00346579,16.94879287,301.4309779,28.01795109,71.98204891,0.389235254,0,3,3
3,70.62130456,18.23916298,312.7108668,30.6833585,69.3166415,0.442655008,0,1,3
4,69.06672732,18.0959239,306.5406698,28.15810183,71.84189817,0.391945404,0,2,2
5,68.5024587,19.28503905,331.4160935,26.71768574,73.28231426,0.364585726,0,3,1
0,70.75141654,17.65548508,259.7333257,24.17917433,75.82082567,0.318898853,0,1,1
1,68.74447518,17.54108766,316.4348658,28.46381939,71.53618061,0.397894033,0,2,2
2,69.52766154,20.46827806,300.2948266,43.47857703,56.52142297,0.769240666,0,3,3
